Artikelnummer,Attributgruppe,Attributname,Attributart,Datentyp,Sprache,Attributwert
QSFP-200G-FR4-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-GPON-B,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-GPON-B-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-GPON-C,,condition,Funktionsattribut,Wertliste,Deutsch,new
SFP-GPON-C-I,,condition,Funktionsattribut,Wertliste,Deutsch,new
CFP-40G-SR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
CFP-40G-LR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
CFP-40G-FR,,condition,Funktionsattribut,Wertliste,Deutsch,new
CFP-100G-LR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
CFP-100G-SR10,,condition,Funktionsattribut,Wertliste,Deutsch,new
CFP-100G-ER4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-400G-DR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-400G-VR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
QSFP-400G-FR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
CXP-100G-SR10,,condition,Funktionsattribut,Wertliste,Deutsch,new
CXP-100G-SR12,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-ZR-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-400G-ZRP-S,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-8X100G-FR,,condition,Funktionsattribut,Wertliste,Deutsch,new
QDD-2X400G-FR4,,condition,Funktionsattribut,Wertliste,Deutsch,new
DWDM-XFP-C,,condition,Funktionsattribut,Wertliste,Deutsch,new
CFP2-100G-ER4,,condition,Funktionsattribut,Wertliste,Deutsch,new
DP01QSDD-ZF1,,condition,Funktionsattribut,Wertliste,Deutsch,new
DP04QSDD-HE0,,condition,Funktionsattribut,Wertliste,Deutsch,new
DP04CFP2-D15,,condition,Funktionsattribut,Wertliste,Deutsch,new
