Artikelnummer;Netto-VK
DWDM-X2-42.94;0,00
DWDM-X2-43.73;0,00
DWDM-X2-44.53;0,00
DWDM-X2-46.12;0,00
DWDM-X2-46.92;0,00
DWDM-X2-47.72;0,00
DWDM-X2-48.51;0,00
DWDM-X2-50.12;0,00
DWDM-X2-50.92;0,00
DWDM-X2-51.72;0,00
DWDM-X2-52.52;0,00
DWDM-X2-54.13;0,00
DWDM-X2-54.94;0,00
DWDM-X2-55.75;0,00
DWDM-X2-56.55;0,00
DWDM-X2-58.17;0,00
DWDM-X2-58.98;0,00
DWDM-X2-59.79;0,00
DWDM-X2-60.61;0,00
X2-10GB-SR++;0,00
X2-10GB-LR++;0,00
X2-10GB-LRM++;0,00
DWDM-XFP-30.33;0,00
DWDM-XFP-31.12;0,00
DWDM-XFP-31.90;0,00
DWDM-XFP-32.68;0,00
DWDM-XFP-34.25;0,00
DWDM-XFP-35.04;0,00
DWDM-XFP-35.82;0,00
DWDM-XFP-36.61;0,00
DWDM-XFP-38.19;0,00
DWDM-XFP-38.98;0,00
DWDM-XFP-39.77;0,00
DWDM-XFP-40.56;0,00
DWDM-XFP-42.14;0,00
DWDM-XFP-42.94;0,00
DWDM-XFP-43.73;0,00
DWDM-XFP-44.53;0,00
DWDM-XFP-46.12;0,00
DWDM-XFP-46.92;0,00
DWDM-XFP-47.72;0,00
DWDM-XFP-48.51;0,00
DWDM-XFP-50.12;0,00
DWDM-XFP-50.92;0,00
DWDM-XFP-51.72;0,00
DWDM-XFP-52.52;0,00
DWDM-XFP-54.13;0,00
DWDM-XFP-54.94;0,00
DWDM-XFP-55.75;0,00
DWDM-XFP-56.55;0,00
DWDM-XFP-58.17;0,00
DWDM-XFP-58.98;0,00
DWDM-XFP-59.79;0,00
DWDM-XFP-60.61;0,00
XFP-10GER-192IR+;0,00
XFP-10GER-OC192IR;0,00
DWDM-XENPAK-30.33;0,00
DWDM-XENPAK-31.12;0,00
DWDM-XENPAK-31.90;0,00
DWDM-XENPAK-32.68;0,00
DWDM-XENPAK-34.25;0,00
DWDM-XENPAK-35.04;0,00
DWDM-XENPAK-35.82;0,00
DWDM-XENPAK-36.61;0,00
DWDM-XENPAK-38.19;0,00
DWDM-XENPAK-38.98;0,00
DWDM-XENPAK-39.77;0,00
DWDM-XENPAK-40.56;0,00
DWDM-XENPAK-42.14;0,00
DWDM-XENPAK-42.94;0,00
DWDM-XENPAK-43.73;0,00
DWDM-XENPAK-44.53;0,00
DWDM-XENPAK-46.12;0,00
DWDM-XENPAK-46.92;0,00
DWDM-XENPAK-47.72;0,00
DWDM-XENPAK-48.51;0,00
DWDM-XENPAK-50.12;0,00
DWDM-XENPAK-50.92;0,00
DWDM-XENPAK-51.72;0,00
DWDM-XENPAK-52.52;0,00
DWDM-XENPAK-54.13;0,00
DWDM-XENPAK-54.94;0,00
DWDM-XENPAK-55.75;0,00
DWDM-XENPAK-56.55;0,00
DWDM-XENPAK-58.17;0,00
DWDM-XENPAK-58.98;0,00
DWDM-XENPAK-59.79;0,00
DWDM-XENPAK-60.61;0,00
XENPAK-10GB-SR;0,00
XENPAK-10GB-LR+;0,00
XENPAK-10GB-ER+;0,00
XENPAK-10GB-ZR;0,00
XENPAK-10GB-LX4;0,00
XENPAK-10GB-LRM;0,00
XENPAK-10GB-CX4;0,00
XENPAK-10GB-LW;0,00
WDM-XENPAK-REC;0,00
DWDM-SFP-3033;0,00
DWDM-SFP-3112;0,00
DWDM-SFP-3190;0,00
DWDM-SFP-3268;0,00
CWDM-SFP-1470;0,00
CWDM-SFP-1490;0,00
CWDM-SFP-1510;0,00
CWDM-SFP-1530;0,00
CWDM-SFP-1610;0,00
CWDM-SFP10G-1470;0,00
CWDM-SFP10G-1490;0,00
CWDM-SFP10G-1510;0,00
CWDM-SFP10G-1530;0,00
CWDM-SFP10G-1550;0,00
CWDM-SFP10G-1570;0,00
CWDM-SFP10G-1590;0,00
CWDM-SFP10G-1610;0,00
DWDM-SFP10G-30.33;0,00
DWDM-SFP10G-31.12;0,00
DWDM-SFP10G-61.41;0,00
DWDM-SFP10G-C;0,00
DWDM-SFP10G-C-S;0,00
DWDM-SFP10G-C-I;0,00
DWDM-SFP10G-E-I;0,00
DS-SFP-FCGE-SW;0,00
DS-SFP-FCGE-LW;0,00
DS-SFP-GE-T;0,00
ONS-SI-GE-EX;0,00
ONS-SI-GE-LX;0,00
ONS-SI-GE-SX;0,00
ONS-SI-GE-ZX;0,00
ONS-CXP2-SR25;0,00
ONS-SC+-10G-SR;0,00
ONS-SC+-10G-LR;0,00
ONS-SC+-10G-ER;0,00
ONS-SC+-10G-ZR;0,00
ONS-SC+-10G-C;0,00
ONS-SI+-10G-SR;0,00
ONS-SI+-10G-LR;0,00
ONS-SI+-10G-ER;0,00
ONS-SI+-10G-ZR;0,00
GLC-LH-SM;0,00
GLC-SX-MM;0,00
GLC-ZX-SM;0,00
GLC-LH-LMM-TI;0,00
GLC-ZX-LMM-TI;0,00
GLC-T++;0,00
GLC-TE++;0,00
SFP-GE-L;0,00
SFP-GE-S;0,00
SFP-GE-Z;0,00
S1G-LH-PM-D-I;0,00
S1G-SX-PM-D-I;0,00
S1G-TE-PM-D-I;0,00
S10G-ER-PM-D-I;0,00
S10G-LR-PM-D-I;0,00
S10G-SR-PM-D-I;0,00
FET-10G;0,00
DP01QSDD-LK9;0,00
DP04QSDD-ER1;0,00
DP04QSDD-HE0-A1;0,00
DP04QSDD-HK9;0,00
DP04QSDD-ULH-A1;0,00
QDD-2Q200-CU2.5M;0,00
QDD-400-CU0.5M;0,00
QDD-400-CU2.5M;0,00
QDD-4ZQ100-CU2.5M;0,00
QSFP-100G-ER4;0,00
QSFP-100G-AOC;0,00
MGBSX1;0,00
MGBLX1;0,00
MGBLH1;0,00
MGBT1;0,00
